motusTagID,runID,recvDeployName,tagDepLat,tagDepLon,recvLat,recvLon,max.runLen,ts.h
30142,54178495,Grand_Isle,29.2578,-89.95,29.25,-90,5,2018-09-05T00:01:33Z
30142,42685683,McGill_Bird_Observatory,29.2578,-89.95,45.45,-73.95,11,2018-09-24T09:49:18Z
30142,42685725,McGill_Bird_Observatory,29.2578,-89.95,45.45,-73.95,18,2018-09-24T10:05:32Z
30142,42688454,McGill_Bird_Observatory,29.2578,-89.95,45.45,-73.95,47,2018-09-24T22:12:30Z
30142,42688482,McGill_Bird_Observatory,29.2578,-89.95,45.45,-73.95,8,2018-09-24T22:16:03Z
30142,42688487,McGill_Bird_Observatory,29.2578,-89.95,45.45,-73.95,10,2018-09-24T22:16:41Z
30143,52245140,South Fork Kern River Valley,NA,NA,35.7,-118.3,14,2019-08-18T15:30:23Z
30143,52245155,South Fork Kern River Valley,NA,NA,35.7,-118.3,18,2019-08-18T15:36:56Z
30143,52246192,South Fork Kern River Valley,NA,NA,35.7,-118.3,25,2019-08-19T05:05:01Z
30143,52248133,South Fork Kern River Valley,NA,NA,35.7,-118.3,16,2019-08-20T07:21:36Z
30143,52270603,South Fork Kern River Valley,NA,NA,35.7,-118.3,4,2019-09-03T08:26:51Z
30144,42470210,McGill_Bird_Observatory,29.257,-89.9509,45.45,-73.95,11,2018-08-14T10:26:48Z
30144,54178493,Grand_Isle,29.257,-89.9509,29.25,-90,23,2018-08-30T22:46:46Z
30144,54178494,Grand_Isle,29.257,-89.9509,29.25,-90,8,2018-08-30T23:02:48Z
30144,44332388,Little Talbot,29.257,-89.9509,30.45,-81.4,4,2019-01-06T09:23:42Z
30144,44333824,Little Talbot,29.257,-89.9509,30.45,-81.4,4,2019-01-11T11:32:07Z
30144,44343327,Little Talbot,29.257,-89.9509,30.45,-81.4,4,2019-02-10T13:15:43Z
30144,36177760,GTM NERR,29.257,-89.9509,30,-81.35,4,2019-02-13T18:39:06Z
30144,51548197,UNF,29.257,-89.9509,30.25,-81.5,4,2019-03-22T15:33:35Z
30144,36187919,GTM NERR,29.257,-89.9509,30,-81.35,4,2019-04-27T01:30:19Z
30144,36188786,GTM NERR,29.257,-89.9509,30,-81.35,4,2019-04-28T20:22:35Z
30144,44390821,Little Talbot,29.257,-89.9509,30.45,-81.4,4,2019-06-03T11:36:03Z
30144,53341045,Olentangy Wetlands 2019,29.257,-89.9509,40,-83,4,2019-08-08T12:55:05Z
30144,52251921,South Fork Kern River Valley,29.257,-89.9509,35.7,-118.3,15,2019-08-22T02:25:06Z
30145,52265247,South Fork Kern River Valley,29.2569,-89.9509,35.7,-118.3,16,2019-08-30T10:35:31Z
30147,54178479,Grand_Isle,29.2579,-89.9498,29.25,-90,6,2018-07-27T10:45:55Z
30147,54178480,Grand_Isle,29.2579,-89.9498,29.25,-90,6,2018-07-27T13:03:44Z
30147,54178485,Grand_Isle,29.2579,-89.9498,29.25,-90,12,2018-07-30T00:28:24Z
30147,54178488,Grand_Isle,29.2579,-89.9498,29.25,-90,10,2018-07-31T21:00:39Z
30147,42460085,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,5,2018-08-12T06:24:38Z
30147,42467820,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,8,2018-08-13T19:03:25Z
30147,42467818,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,10,2018-08-13T19:03:28Z
30147,42469827,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,56,2018-08-14T07:37:23Z
30147,42470109,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,21,2018-08-14T10:06:10Z
30147,42497704,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,10,2018-08-19T10:53:49Z
30147,54178491,Grand_Isle,29.2579,-89.9498,29.25,-90,12,2018-08-20T00:40:28Z
30147,42525693,McGill_Bird_Observatory,29.2579,-89.9498,45.45,-73.95,21,2018-08-24T00:27:33Z
