motusTagID,markerNumber,runID,recvDeployName,tagDepLon,tagDepLat,recvLat,recvLon,max.runLen,ts.h
30142,L7,54178495,Grand_Isle,-89.95,29.2578,29.25,-90,5,2018-09-05T00:01:33Z
30142,L7,63646939,Grand_Isle,-89.95,29.2578,29.25,-90,5,2018-09-05T00:01:33Z
30143,NA,52245140,South Fork Kern River Valley,NA,NA,35.7,-118.3,14,2019-08-18T15:30:23Z
30143,NA,52245155,South Fork Kern River Valley,NA,NA,35.7,-118.3,18,2019-08-18T15:36:56Z
30143,NA,52246192,South Fork Kern River Valley,NA,NA,35.7,-118.3,25,2019-08-19T05:05:01Z
30143,NA,52248133,South Fork Kern River Valley,NA,NA,35.7,-118.3,16,2019-08-20T07:21:36Z
30143,NA,52270603,South Fork Kern River Valley,NA,NA,35.7,-118.3,4,2019-09-03T08:26:51Z
30144,5L,54178493,Grand_Isle,-89.9509,29.257,29.25,-90,23,2018-08-30T22:46:46Z
30144,5L,63646937,Grand_Isle,-89.9509,29.257,29.25,-90,23,2018-08-30T22:46:46Z
30144,5L,54178494,Grand_Isle,-89.9509,29.257,29.25,-90,8,2018-08-30T23:02:48Z
30144,5L,63646938,Grand_Isle,-89.9509,29.257,29.25,-90,8,2018-08-30T23:02:48Z
30144,5L,44332388,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-01-06T09:23:42Z
30144,5L,61873162,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-01-06T09:23:42Z
30144,5L,44333824,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-01-11T11:32:07Z
30144,5L,61874598,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-01-11T11:32:07Z
30144,5L,44343327,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-02-10T13:15:43Z
30144,5L,61884101,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-02-10T13:15:43Z
30144,5L,36177760,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-02-13T18:39:06Z
30144,5L,63267425,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-02-13T18:39:06Z
30144,5L,51548197,UNF,-89.9509,29.257,30.25,-81.5,4,2019-03-22T15:33:35Z
30144,5L,36187919,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-04-27T01:30:19Z
30144,5L,63276394,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-04-27T01:30:19Z
30144,5L,36188786,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-04-28T20:22:35Z
30144,5L,63277105,GTM NERR,-89.9509,29.257,30,-81.35,4,2019-04-28T20:22:35Z
30144,5L,44390821,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-06-03T11:36:03Z
30144,5L,61932955,Little Talbot,-89.9509,29.257,30.45,-81.4,4,2019-06-03T11:36:03Z
30144,5L,52251921,South Fork Kern River Valley,-89.9509,29.257,35.7,-118.3,15,2019-08-22T02:25:06Z
30145,7M,52265247,South Fork Kern River Valley,-89.9509,29.2569,35.7,-118.3,16,2019-08-30T10:35:31Z
30147,5Y,54178479,Grand_Isle,-89.9498,29.2579,29.25,-90,6,2018-07-27T10:45:55Z
30147,5Y,63646923,Grand_Isle,-89.9498,29.2579,29.25,-90,6,2018-07-27T10:45:55Z
30147,5Y,54178480,Grand_Isle,-89.9498,29.2579,29.25,-90,6,2018-07-27T13:03:44Z
30147,5Y,63646924,Grand_Isle,-89.9498,29.2579,29.25,-90,6,2018-07-27T13:03:44Z
